sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
200_Teno_120_1982	-0.007	-0.0095	-0.0117	-0.0038	-0.0071	-0.0156	-0.0053	0.004	-0.0002	-0.0015
201_Teno_144_1982	-0.0084	-0.011	0.0089	-0.012	-0.0094	0.0197	-0.0001	0.0001	0.004	0.0
202_Teno_171_1982	-0.0123	-0.0118	-0.0009	0.0044	-0.008	0.0029	-0.0038	0.0033	0.0046	0.0027
203_Teno_696_1982	-0.0118	-0.0171	0.0023	0.0204	-0.0158	0.0063	0.0028	-0.0103	-0.015	0.005
204_Teno_332_1983	-0.0144	-0.0071	-0.0041	0.0208	0.0017	0.0091	-0.0084	0.0022	0.0021	-0.0028
205_Teno_360_1983	-0.0141	-0.021	-0.0038	0.0071	-0.0009	0.0057	-0.0037	-0.002	0.0002	-0.0001
206_Teno_567_1983	-0.0116	-0.012	-0.0065	-0.0385	-0.0029	-0.0034	-0.0111	-0.0004	0.0006	-0.0172
207_Teno_671_1983	-0.0107	-0.0154	-0.0036	0.0247	0.0055	-0.0156	-0.0046	-0.0095	-0.0045	-0.0028
208_Teno_674_1983	-0.0077	-0.0099	0.0127	0.0337	0.0098	0.0072	-0.0001	-0.0003	0.0029	-0.0157
209_Teno_740_1983	-0.0062	-0.0073	-0.0034	-0.0275	0.0089	0.0052	-0.0007	-0.0008	0.0012	-0.0004
210_Teno_765_1983	-0.0052	-0.007	-0.0057	0.0184	-0.0043	0.0086	0.0017	0.008	-0.0001	0.0001
211_Teno_766_1983	-0.0047	-0.0241	-0.008	0.0195	-0.0098	0.0142	-0.014	-0.0052	0.0152	-0.0081
212_Teno_769_1983	-0.0138	-0.0145	-0.0083	0.0208	-0.0015	0.0048	-0.0174	-0.0002	-0.0013	0.0032
213_Teno_772_1983	-0.0058	-0.0143	-0.0213	0.0175	0.0154	-0.004	-0.0035	-0.0004	-0.0001	0.0008
214_Teno_774_1983	-0.0137	-0.0111	-0.0045	-0.0364	0.0085	-0.0067	0.009	-0.0057	-0.001	0.0018
215_Teno_776_1983	-0.0124	-0.013	-0.0016	-0.0316	-0.0264	0.0354	-0.0166	0.0177	0.01	0.0014
216_Teno_781_1983	-0.0194	-0.0078	0.0031	-0.0257	0.0025	0.0008	0.0027	-0.0054	0.015	0.0071
217_Teno_782_1983	-0.0073	-0.0209	-0.0087	-0.0061	-0.006	-0.0135	-0.0012	0.002	0.0021	-0.0106
218_Teno_166_1985	-0.0148	-0.0105	-0.0071	-0.0348	-0.0288	0.013	-0.0008	-0.0088	-0.0021	0.0016
219_Teno_345_1985	-0.0121	-0.0088	-0.0127	-0.0027	0.0008	-0.0067	0.0091	0.0073	0.0126	-0.0017
220_Teno_403_1985	-0.0135	-0.0083	-0.0048	0.012	0.0004	-0.004	-0.0002	-0.0215	-0.0032	-0.0011
221_Teno_785_1985	-0.0099	-0.0132	-0.0014	-0.0416	-0.0073	0.0144	-0.0228	0.0133	-0.001	-0.0081
222_Teno_790_1985	-0.0091	-0.0167	-0.0042	-0.0223	0.0022	-0.0035	-0.0149	0.0023	0.0104	-0.0001
223_Teno_894_1985	-0.0003	-0.0105	-0.0134	-0.0117	-0.0028	0.007	0.0102	0.0612	-0.0071	-0.0241
224_Teno_1076_1985	-0.0099	-0.0126	0.0024	0.0156	-0.0026	0.0196	-0.0002	-0.0007	-0.0008	-0.0002
225_Teno_214_1986	-0.0107	-0.0165	-0.0095	-0.0303	-0.0074	0.0094	-0.0142	0.0138	-0.0004	-0.0061
226_Teno_219_1986	-0.0119	-0.012	-0.0016	-0.0231	-0.0001	0.0023	-0.0181	0.0002	0.0081	-0.0063
227_Teno_221_1986	-0.0115	-0.014	-0.0093	-0.0282	0.002	0.0086	-0.0023	0.0006	-0.0004	-0.0002
228_Teno_223_1986	-0.0105	-0.0126	-0.0167	0.0002	0.0091	0.0092	-0.0037	0.0123	0.0121	-0.0037
229_Teno_225_1986	-0.0104	-0.0102	-0.0064	-0.0202	0.0079	0.0145	0.0093	-0.0054	0.001	-0.0043
230_Teno_429_1986	-0.0078	-0.0146	0.0044	-0.0194	-0.007	0.0072	-0.0058	0.005	0.0002	0.004
231_Teno_432_1986	-0.0089	-0.0188	0.0	-0.0089	0.0036	0.0005	-0.0011	0.022	0.0193	-0.0144
232_Teno_433_1986	-0.0132	-0.0113	-0.0076	-0.0452	-0.0006	-0.0081	-0.0044	-0.002	-0.0113	-0.0128
233_Teno_434_1986	-0.0109	-0.0074	0.0022	-0.0367	-0.009	0.0034	-0.0102	-0.004	0.0004	0.0023
234_Teno_435_1986	-0.0121	-0.0128	-0.0072	-0.0226	-0.0081	-0.0009	0.0123	0.0011	-0.0045	-0.0029
235_Teno_507_1986	-0.0132	-0.0123	-0.0083	-0.0227	-0.0002	0.0143	-0.0053	-0.002	-0.0008	0.0018
236_Teno_512_1986	-0.0077	-0.0201	-0.0109	-0.0453	0.0025	0.0042	-0.0152	-0.0025	0.0018	-0.0012
