sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
200_Teno_120_1982	-0.0068	-0.0093	-0.0109	-0.0033	-0.006	-0.0125	-0.004	0.0031	-0.0002	-0.0012
201_Teno_144_1982	-0.0082	-0.0107	0.0083	-0.0104	-0.008	0.0157	-0.0001	0.0001	0.0032	0.0
202_Teno_171_1982	-0.012	-0.0116	-0.0008	0.0038	-0.0068	0.0023	-0.0029	0.0025	0.0036	0.0021
203_Teno_696_1982	-0.0116	-0.0167	0.0021	0.0177	-0.0135	0.0051	0.0021	-0.008	-0.0118	0.0038
204_Teno_332_1983	-0.0141	-0.0069	-0.0038	0.018	0.0014	0.0072	-0.0063	0.0017	0.0016	-0.0021
205_Teno_360_1983	-0.0139	-0.0205	-0.0036	0.0061	-0.0008	0.0045	-0.0028	-0.0015	0.0002	-0.0
206_Teno_567_1983	-0.0114	-0.0117	-0.0061	-0.0333	-0.0025	-0.0027	-0.0084	-0.0003	0.0005	-0.0132
207_Teno_671_1983	-0.0105	-0.015	-0.0033	0.0214	0.0047	-0.0124	-0.0035	-0.0073	-0.0035	-0.0022
208_Teno_674_1983	-0.0075	-0.0097	0.0119	0.0292	0.0083	0.0058	-0.0001	-0.0002	0.0023	-0.012
209_Teno_740_1983	-0.0061	-0.0071	-0.0032	-0.0238	0.0076	0.0042	-0.0005	-0.0006	0.0009	-0.0003
210_Teno_765_1983	-0.0051	-0.0068	-0.0053	0.0159	-0.0036	0.0069	0.0013	0.0062	-0.0001	0.0001
211_Teno_766_1983	-0.0046	-0.0235	-0.0075	0.0169	-0.0083	0.0113	-0.0106	-0.004	0.0119	-0.0062
212_Teno_769_1983	-0.0135	-0.0141	-0.0078	0.018	-0.0013	0.0038	-0.0132	-0.0002	-0.001	0.0024
213_Teno_772_1983	-0.0057	-0.0139	-0.0199	0.0152	0.0131	-0.0032	-0.0026	-0.0003	-0.0001	0.0006
214_Teno_774_1983	-0.0134	-0.0109	-0.0042	-0.0316	0.0072	-0.0054	0.0068	-0.0044	-0.0008	0.0014
215_Teno_776_1983	-0.0122	-0.0127	-0.0015	-0.0274	-0.0225	0.0283	-0.0126	0.0136	0.0078	0.0011
216_Teno_781_1983	-0.019	-0.0076	0.0029	-0.0223	0.0021	0.0007	0.002	-0.0041	0.0117	0.0054
217_Teno_782_1983	-0.0072	-0.0204	-0.0081	-0.0053	-0.0051	-0.0108	-0.0009	0.0016	0.0017	-0.0081
218_Teno_166_1985	-0.0145	-0.0102	-0.0066	-0.0301	-0.0246	0.0104	-0.0006	-0.0068	-0.0017	0.0012
219_Teno_345_1985	-0.0119	-0.0086	-0.0118	-0.0023	0.0007	-0.0054	0.0069	0.0056	0.0099	-0.0013
