sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
200_Teno_120_1982	-0.0066	-0.009	-0.0099	-0.0029	-0.0049	-0.0099	-0.0032	0.0024	-0.0001	-0.0009
201_Teno_144_1982	-0.0079	-0.0104	0.0075	-0.0092	-0.0065	0.0124	-0.0	0.0001	0.0024	0.0
202_Teno_171_1982	-0.0116	-0.0112	-0.0008	0.0034	-0.0055	0.0018	-0.0023	0.002	0.0028	0.0016
203_Teno_696_1982	-0.0112	-0.0162	0.0019	0.0156	-0.0109	0.004	0.0017	-0.0064	-0.0091	0.003
204_Teno_332_1983	-0.0136	-0.0067	-0.0035	0.0158	0.0012	0.0057	-0.0051	0.0014	0.0013	-0.0017
205_Teno_360_1983	-0.0133	-0.0199	-0.0032	0.0054	-0.0006	0.0036	-0.0023	-0.0012	0.0001	-0.0
206_Teno_567_1983	-0.0109	-0.0114	-0.0055	-0.0293	-0.002	-0.0021	-0.0067	-0.0002	0.0004	-0.0103
207_Teno_671_1983	-0.0101	-0.0146	-0.003	0.0188	0.0038	-0.0098	-0.0028	-0.0058	-0.0027	-0.0017
208_Teno_674_1983	-0.0073	-0.0094	0.0108	0.0257	0.0068	0.0046	-0.0001	-0.0002	0.0017	-0.0094
209_Teno_740_1983	-0.0058	-0.0069	-0.0029	-0.0209	0.0061	0.0033	-0.0004	-0.0005	0.0007	-0.0003
210_Teno_765_1983	-0.0049	-0.0066	-0.0048	0.014	-0.0029	0.0054	0.001	0.0049	-0.0001	0.0001
211_Teno_766_1983	-0.0044	-0.0229	-0.0068	0.0149	-0.0068	0.009	-0.0085	-0.0032	0.0092	-0.0049
212_Teno_769_1983	-0.013	-0.0137	-0.007	0.0158	-0.001	0.003	-0.0106	-0.0001	-0.0008	0.0019
213_Teno_772_1983	-0.0055	-0.0135	-0.0181	0.0133	0.0107	-0.0025	-0.0021	-0.0002	-0.0	0.0005
214_Teno_774_1983	-0.0129	-0.0106	-0.0038	-0.0277	0.0059	-0.0043	0.0054	-0.0035	-0.0006	0.0011
215_Teno_776_1983	-0.0117	-0.0124	-0.0013	-0.0241	-0.0183	0.0224	-0.0101	0.0109	0.006	0.0009
