sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
200_Teno_120_1982	-0.007	-0.0095	-0.0116	-0.0038	-0.0071	-0.0148	-0.0051	0.0039	-0.0002	-0.0015
201_Teno_144_1982	-0.0084	-0.011	0.0089	-0.0119	-0.0094	0.0187	-0.0001	0.0001	0.0039	0.0
202_Teno_171_1982	-0.0122	-0.0119	-0.0009	0.0044	-0.008	0.0027	-0.0037	0.0032	0.0044	0.0026
203_Teno_696_1982	-0.0118	-0.0171	0.0023	0.0202	-0.0158	0.006	0.0027	-0.0101	-0.0144	0.0048
204_Teno_332_1983	-0.0144	-0.0071	-0.0041	0.0205	0.0017	0.0086	-0.008	0.0022	0.002	-0.0027
205_Teno_360_1983	-0.0141	-0.021	-0.0038	0.007	-0.0009	0.0054	-0.0036	-0.0019	0.0002	-0.0001
206_Teno_567_1983	-0.0116	-0.012	-0.0065	-0.038	-0.0029	-0.0032	-0.0106	-0.0004	0.0006	-0.0166
207_Teno_671_1983	-0.0107	-0.0154	-0.0036	0.0244	0.0055	-0.0148	-0.0044	-0.0092	-0.0044	-0.0027
208_Teno_674_1983	-0.0077	-0.0099	0.0126	0.0333	0.0097	0.0069	-0.0001	-0.0003	0.0028	-0.0151
209_Teno_740_1983	-0.0062	-0.0073	-0.0034	-0.0272	0.0089	0.005	-0.0007	-0.0008	0.0011	-0.0004
210_Teno_765_1983	-0.0052	-0.007	-0.0057	0.0181	-0.0042	0.0082	0.0016	0.0079	-0.0001	0.0001
211_Teno_766_1983	-0.0047	-0.0241	-0.008	0.0193	-0.0097	0.0135	-0.0135	-0.0051	0.0147	-0.0078
212_Teno_769_1983	-0.0137	-0.0145	-0.0083	0.0205	-0.0015	0.0045	-0.0167	-0.0002	-0.0012	0.003
213_Teno_772_1983	-0.0058	-0.0143	-0.0212	0.0173	0.0154	-0.0038	-0.0033	-0.0004	-0.0001	0.0008
214_Teno_774_1983	-0.0137	-0.0111	-0.0045	-0.036	0.0085	-0.0064	0.0086	-0.0056	-0.001	0.0018
215_Teno_776_1983	-0.0124	-0.0131	-0.0016	-0.0312	-0.0263	0.0336	-0.016	0.0173	0.0096	0.0014
216_Teno_781_1983	-0.0194	-0.0078	0.0031	-0.0254	0.0025	0.0008	0.0025	-0.0052	0.0144	0.0068
217_Teno_782_1983	-0.0073	-0.0209	-0.0087	-0.006	-0.006	-0.0128	-0.0012	0.002	0.002	-0.0102
218_Teno_166_1985	-0.0148	-0.0105	-0.007	-0.0344	-0.0287	0.0123	-0.0008	-0.0086	-0.0021	0.0016
219_Teno_345_1985	-0.0121	-0.0088	-0.0126	-0.0026	0.0008	-0.0064	0.0087	0.0071	0.0122	-0.0017
