sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
220_Teno_403_1985	-0.0135	-0.0083	-0.0048	0.0119	0.0004	-0.0038	-0.0002	-0.0211	-0.0031	-0.001
221_Teno_785_1985	-0.0099	-0.0132	-0.0014	-0.0411	-0.0073	0.0137	-0.0218	0.013	-0.0009	-0.0078
222_Teno_790_1985	-0.0091	-0.0167	-0.0042	-0.0221	0.0022	-0.0034	-0.0143	0.0022	0.01	-0.0001
223_Teno_894_1985	-0.0003	-0.0105	-0.0134	-0.0116	-0.0028	0.0066	0.0097	0.0599	-0.0068	-0.0232
224_Teno_1076_1985	-0.0099	-0.0126	0.0024	0.0154	-0.0026	0.0186	-0.0002	-0.0006	-0.0008	-0.0002
225_Teno_214_1986	-0.0107	-0.0165	-0.0094	-0.0299	-0.0074	0.009	-0.0136	0.0135	-0.0004	-0.0059
226_Teno_219_1986	-0.0119	-0.012	-0.0016	-0.0229	-0.0001	0.0022	-0.0174	0.0002	0.0078	-0.0061
227_Teno_221_1986	-0.0115	-0.014	-0.0093	-0.0279	0.002	0.0081	-0.0022	0.0006	-0.0004	-0.0002
228_Teno_223_1986	-0.0105	-0.0126	-0.0166	0.0002	0.0091	0.0087	-0.0036	0.0121	0.0116	-0.0036
229_Teno_225_1986	-0.0104	-0.0102	-0.0064	-0.0199	0.0078	0.0137	0.009	-0.0053	0.001	-0.0042
230_Teno_429_1986	-0.0078	-0.0146	0.0044	-0.0192	-0.0069	0.0069	-0.0056	0.0049	0.0002	0.0038
231_Teno_432_1986	-0.0089	-0.0188	0.0	-0.0088	0.0036	0.0005	-0.0011	0.0216	0.0185	-0.0139
232_Teno_433_1986	-0.0132	-0.0113	-0.0075	-0.0447	-0.0006	-0.0077	-0.0042	-0.0019	-0.0109	-0.0124
233_Teno_434_1986	-0.0109	-0.0074	0.0022	-0.0362	-0.0089	0.0032	-0.0098	-0.0039	0.0004	0.0022
234_Teno_435_1986	-0.0121	-0.0128	-0.0072	-0.0223	-0.0081	-0.0009	0.0118	0.001	-0.0044	-0.0028
235_Teno_507_1986	-0.0132	-0.0123	-0.0082	-0.0224	-0.0002	0.0136	-0.0051	-0.0019	-0.0007	0.0018
236_Teno_512_1986	-0.0077	-0.0201	-0.0108	-0.0447	0.0025	0.0039	-0.0146	-0.0025	0.0017	-0.0012
237_Teno_513_1986	-0.0094	-0.0122	-0.0145	0.0114	0.0093	0.0091	-0.0021	-0.0158	-0.0031	-0.0104
238_Teno_559_1986	-0.014	-0.0135	0.0007	-0.0345	-0.0076	0.0092	0.0032	-0.0015	0.0003	0.0009
239_Teno_685_1986	-0.0157	-0.0035	-0.0099	0.0244	-0.005	0.0072	-0.0033	-0.0052	0.0017	-0.0042
240_Teno_772_1986	-0.0097	-0.0166	-0.0034	0.016	0.0161	-0.0028	0.0083	-0.0011	-0.0036	0.0015
241_Teno_929_1986	-0.0141	-0.0154	0.0065	-0.009	-0.014	0.0082	-0.0214	0.0159	-0.0096	-0.0196
242_Teno_1005_1986	-0.0028	-0.0127	0.004	0.0033	-0.0182	0.006	-0.0026	-0.0007	-0.0146	-0.0026
243_Teno_1047_1986	-0.0132	-0.0162	0.0043	0.0199	-0.0182	0.0136	-0.0059	-0.0041	-0.0011	-0.0038
244_Teno_1048_1986	-0.0051	-0.0162	-0.0053	0.0299	-0.0099	0.0119	-0.0169	-0.0091	-0.0012	-0.011
245_Teno_1050_1986	-0.0113	-0.0061	-0.0043	-0.0038	-0.0251	0.0075	-0.0094	0.0108	0.0032	0.005
246_Teno_1057_1986	-0.0086	-0.0163	-0.0113	-0.0105	-0.0121	0.0073	-0.014	0.0088	0.0127	-0.0088
247_Teno_1112_1986	-0.0138	-0.0135	-0.007	-0.0274	-0.0063	0.009	0.0105	0.0023	-0.0053	0.0013
248_Teno_1113_1986	-0.0103	-0.009	-0.0003	0.0067	0.0143	-0.0057	0.003	0.0007	0.004	0.0009
249_Teno_1142_1986	-0.012	-0.014	-0.0048	0.0094	-0.0047	0.0094	-0.0185	-0.004	0.0084	-0.0142
250_Teno_1190_1986	-0.0112	-0.011	0.0015	-0.005	0.0009	0.0132	0.0059	-0.0077	0.0008	-0.0025
251_Teno_1197_1986	-0.0084	-0.0055	-0.0083	0.0103	-0.0011	0.0173	-0.0114	-0.0066	0.0053	-0.0004
252_Teno_1275_1986	-0.0101	-0.0127	-0.0033	0.0109	0.0108	-0.0058	-0.0048	0.0077	0.0001	-0.0026
253_Teno_1295_1986	-0.0091	-0.0147	-0.0037	0.0058	-0.0003	-0.0039	-0.0111	-0.0104	0.0004	0.0016
254_Teno_1384_1986	-0.0144	-0.0101	0.0007	-0.0305	-0.0249	0.0263	0.0011	-0.0214	-0.0054	-0.0054
255_Teno_1161_1987	-0.0148	-0.0128	0.0042	0.0064	-0.015	0.0225	0.0152	-0.0178	-0.0174	0.0025
256_Teno_1358_1987	-0.0101	-0.0127	-0.0052	0.0032	0.0036	-0.001	-0.0167	-0.0197	0.0024	-0.0024
257_Teno_1365_1987	-0.0189	-0.0144	0.0163	-0.0394	-0.0337	0.0074	0.0009	0.0012	-0.007	-0.0073
258_Teno_145_1987	-0.0138	-0.0119	-0.0096	-0.0478	-0.004	0.0132	0.008	-0.0245	0.0147	0.0189
259_Teno_156_1987	-0.0138	-0.0174	-0.0103	-0.038	-0.0057	0.0134	0.0012	-0.0112	0.0027	0.0003
260_Teno_245_1987	-0.01	-0.009	0.0009	0.0166	0.0006	0.0099	0.0024	-0.0003	-0.0007	0.0055
261_Teno_256_1987	-0.0067	-0.0133	-0.0054	0.0023	-0.0119	0.016	0.0017	-0.0066	0.0059	-0.0471
262_Teno_288_1987	-0.0092	-0.0168	-0.0122	0.0087	-0.0048	0.0157	0.007	0.0306	-0.0308	0.016
263_Teno_389_1987	-0.0095	-0.0108	-0.0103	-0.026	0.0103	0.0086	-0.009	-0.0076	0.0026	-0.0029
264_Teno_390_1987	-0.0125	-0.0113	-0.0088	-0.0375	-0.0076	0.015	-0.0043	-0.0283	0.0043	0.0237
265_Teno_396_1987	-0.0089	-0.014	-0.0107	-0.0189	-0.0091	0.0157	0.0047	-0.0	-0.0002	-0.002
266_Teno_402_1987	-0.0096	-0.0101	-0.005	0.0073	-0.0005	0.0106	-0.0058	-0.0058	0.0	-0.0023
267_Teno_411_1987	-0.0104	-0.0101	0.004	0.0141	-0.0046	0.0049	-0.0098	0.0051	0.0026	-0.0003
268_Teno_626_1987	-0.0125	-0.0137	-0.0115	-0.0474	-0.008	0.0025	-0.0005	0.0076	-0.0078	0.0026
269_Teno_637_1987	-0.0109	-0.0072	-0.0009	-0.0386	0.0144	-0.0052	0.0044	0.0141	-0.0013	0.0064
270_Teno_638_1987	-0.0135	-0.0155	-0.0161	-0.0462	-0.006	0.017	-0.0069	-0.0268	0.0191	-0.0088
271_Teno_639_1987	-0.012	-0.0144	0.0035	0.0106	-0.0191	0.0064	-0.0144	-0.0102	0.0038	0.0012
272_Teno_640_1987	-0.0085	-0.0143	-0.0067	0.0278	-0.0099	0.0045	-0.0195	-0.0011	0.0028	0.0023
273_Teno_641_1987	-0.01	-0.0107	-0.0075	-0.0119	0.0131	-0.003	0.0098	0.0078	-0.0076	0.0073
274_Teno_644_1987	-0.0138	-0.0061	0.0013	-0.0164	-0.0151	0.0124	0.0038	-0.0018	0.0005	-0.0097
275_Teno_650_1987	-0.0104	-0.0149	0.0034	-0.0289	-0.0106	0.0203	-0.0269	-0.0022	0.0069	-0.0027
276_Teno_721_1987	-0.0091	-0.0122	0.0022	-0.0236	-0.0057	0.0052	-0.001	-0.0058	-0.0216	0.0085
277_Teno_734_1987	-0.0121	-0.0145	-0.007	0.0128	-0.0125	0.0093	-0.0075	-0.0042	-0.0039	-0.0014
278_Teno_750_1987	-0.0051	-0.0179	-0.0062	0.0134	0.0058	0.0026	0.0032	-0.0013	-0.0044	0.0012
279_Teno_751_1987	-0.0056	-0.0154	-0.0056	0.0158	0.0074	-0.0098	0.0066	0.0019	0.0012	-0.0001
280_Teno_755_1987	-0.0033	-0.0142	-0.0049	0.0093	-0.009	-0.004	0.0092	-0.0071	-0.0013	0.0031
281_Teno_756_1987	-0.0116	-0.0119	-0.007	0.006	0.0159	0.0118	-0.0092	0.0137	-0.0008	0.0016
282_Teno_760_1987	-0.0123	-0.011	0.0041	0.0187	-0.017	0.0024	-0.0072	-0.0053	0.0083	-0.0035
283_Teno_766_1987	-0.0142	-0.0124	0.0122	-0.0198	0.005	0.0155	-0.0072	-0.0029	0.0005	-0.005
284_Teno_835_1987	-0.0153	-0.0056	0.0112	-0.0247	-0.0284	-0.0072	-0.0139	0.0321	0.0061	0.0009
285_Teno_838_1987	-0.0154	-0.0148	0.0007	-0.0312	0.0083	-0.0076	-0.0053	-0.0034	-0.0014	-0.0011
286_Teno_842_1987	-0.0153	-0.009	0.0072	-0.0069	-0.0018	0.0056	-0.004	0.013	0.036	0.0574
287_Teno_843_1987	-0.0095	-0.0113	0.0067	0.0043	0.007	0.001	0.01	0.0013	0.0021	-0.0003
288_Teno_844_1987	-0.012	-0.019	0.0007	-0.0072	-0.0103	0.0099	-0.0025	-0.0017	-0.0041	0.0034
289_Teno_846_1987	-0.0113	-0.013	0.0052	-0.0262	0.0008	0.0013	-0.0155	-0.0117	0.0011	-0.0006
290_Teno_905_1987	-0.0063	-0.01	0.0095	-0.0071	0.0027	0.0133	-0.0017	0.0024	0.0003	-0.0093
291_Teno_965_1987	-0.0082	-0.0142	-0.0011	-0.0229	-0.0016	0.0112	-0.0063	-0.0065	0.0171	0.0173
292_Teno_286_1988	-0.0137	-0.0064	0.0152	-0.0247	-0.0073	0.0134	-0.0088	-0.0169	-0.0071	-0.0192
293_Teno_372_1989	-0.0131	-0.014	-0.0102	-0.0134	-0.0114	0.0165	0.005	-0.0002	-0.0008	0.0044
300_Teno_3692_2001	-0.0107	-0.0107	-0.0135	-0.019	-0.0237	-0.0125	-0.0131	0.0032	0.0055	0.0084
301_Teno_3693_2001	-0.0113	-0.0113	-0.0021	-0.0268	0.0153	-0.0004	-0.0022	0.0067	-0.005	-0.0001
302_Teno_3695_2001	-0.0105	-0.0193	-0.0072	0.0191	0.0017	-0.0107	-0.0017	-0.0225	-0.0045	-0.002
303_Teno_3731_2001	-0.0067	-0.0081	-0.0064	0.0075	0.0	-0.0025	0.0037	0.008	-0.0032	-0.0062
304_Teno_3733_2001	-0.0137	-0.0129	-0.0006	-0.0243	0.0009	-0.0021	0.0079	0.004	-0.0025	0.0003
305_Teno_3734_2001	-0.0083	-0.0141	0.0018	0.011	-0.0051	-0.0048	0.0016	0.0004	0.0027	0.0033
306_Teno_3736_2001	-0.0073	-0.0041	-0.0038	-0.0076	-0.0158	-0.0006	0.0066	0.0198	-0.0022	0.0351
307_Teno_3738_2001	-0.0144	-0.0145	-0.0034	0.0165	-0.0011	-0.0044	-0.0091	-0.0056	0.0004	0.0026
308_Teno_3741_2001	-0.008	-0.0145	0.0062	0.0161	0.0208	0.0027	-0.0109	-0.0009	0.0013	-0.0002
309_Teno_3742_2001	-0.0113	-0.0153	-0.0059	0.0351	-0.0039	0.0101	-0.0032	-0.0106	-0.0025	-0.0041
310_Teno_3744_2001	-0.0028	-0.0109	-0.0023	0.0038	0.0058	-0.0053	0.0105	-0.0006	0.0001	0.0002
311_Teno_3751_2001	-0.0119	-0.0098	-0.0055	-0.0077	-0.0005	0.0055	0.004	-0.0094	-0.0006	0.0008
312_Teno_3902_2001	-0.0053	-0.0162	-0.007	0.0051	0.0095	0.0173	-0.0087	-0.0029	0.0049	-0.0111
313_Teno_3903_2001	-0.0084	-0.01	-0.0086	0.0146	-0.0035	0.0105	0.0108	0.0046	-0.0007	-0.0016
314_Teno_3910_2001	-0.01	-0.0166	-0.007	0.0253	0.0085	0.0001	-0.0089	0.002	0.0045	0.0017
315_Teno_3912_2001	-0.0118	-0.0071	-0.0047	0.03	0.0193	-0.0154	0.0017	-0.004	-0.0007	0.0015
316_Teno_3914_2001	-0.0114	-0.0199	-0.0066	0.0077	-0.0005	-0.0027	-0.0091	-0.0169	-0.0035	-0.0049
317_Teno_3916_2001	-0.0145	-0.0136	-0.0145	-0.0318	-0.0187	0.0106	-0.0064	0.0063	0.001	-0.0038
318_Teno_4165_2001	-0.0135	-0.0129	0.002	0.0115	0.0043	-0.0031	-0.0146	0.0006	0.0017	-0.0104
319_Teno_4167_2001	-0.0134	-0.0147	-0.0194	-0.0465	0.0032	-0.003	-0.0111	0.0035	0.0022	0.0001
320_Teno_4168_2001	-0.0155	-0.01	-0.0114	0.0172	0.0142	-0.0166	0.0129	0.003	0.013	-0.0048
321_Teno_4169_2001	-0.0114	-0.0072	-0.0074	0.017	-0.0214	0.0133	-0.0013	-0.0008	-0.0005	-0.0025
322_Teno_4890_2001	-0.0157	-0.0148	-0.0069	-0.0071	-0.006	0.0014	0.004	0.0001	0.0001	0.0005
323_Teno_4898_2001	-0.0085	-0.0099	-0.0025	0.0	0.0068	-0.0027	0.0068	0.0018	-0.0014	-0.0028
324_Teno_4899_2001	-0.0099	-0.0123	-0.0096	0.0267	0.0107	-0.01	0.0111	0.0598	0.0076	0.0017
325_Teno_4919_2001	-0.0113	-0.0204	-0.0062	-0.0145	0.0031	-0.0113	-0.0094	-0.0002	-0.0098	-0.0018
326_Teno_4920_2001	-0.0117	-0.0125	-0.0137	-0.0179	-0.0085	-0.0145	0.0136	0.003	0.0029	0.0105
327_Teno_4925_2001	-0.0068	-0.0169	-0.0153	-0.0021	0.0096	0.0163	-0.0047	0.0062	0.0031	-0.0074
328_Teno_4928_2001	-0.011	-0.0158	-0.0069	-0.0376	-0.0016	0.0024	-0.005	-0.0059	-0.0055	0.0001
329_Teno_4929_2001	-0.0084	-0.0151	-0.0141	-0.0418	0.0139	0.0065	-0.0124	-0.0018	-0.0039	-0.0024
330_Teno_4992_2001	-0.0104	-0.0139	-0.007	-0.033	-0.0055	-0.0188	-0.0008	0.0013	-0.002	0.0021
331_Teno_4993_2001	-0.0125	-0.0073	-0.0036	-0.0508	-0.0043	-0.0067	0.0023	0.0002	-0.0007	0.0014
332_Teno_4995_2001	-0.0169	-0.0205	-0.0206	0.0098	-0.002	0.0041	-0.0162	0.0012	0.0131	0.0004
333_Teno_4996_2001	-0.0092	-0.0115	-0.0146	0.0035	0.0032	-0.0158	0.0009	-0.0021	-0.0011	0.0044
334_Teno_4997_2001	-0.0117	-0.0111	-0.0064	0.0126	0.0027	-0.0012	-0.0029	0.0049	0.0007	0.0024
335_Teno_4999_2001	-0.0132	-0.0124	-0.0093	0.0092	0.0043	-0.0063	-0.0062	-0.0008	0.0154	0.0048
336_Teno_5000_2001	-0.0105	-0.0091	-0.0028	0.0076	-0.0087	0.0017	0.0021	-0.0013	0.0001	-0.0006
337_Teno_5068_2001	-0.007	-0.0112	0.0002	0.0176	0.0029	0.0046	-0.0003	0.0045	0.0001	0.0037
338_Teno_5069_2001	-0.0053	-0.015	-0.0032	0.0286	-0.0054	-0.0195	0.012	-0.0018	-0.001	-0.0002
339_Teno_5072_2001	-0.0159	-0.0149	-0.0154	0.0259	-0.003	0.018	0.0108	-0.0045	0.0024	-0.0009
340_Teno_5073_2001	-0.0091	-0.0135	0.001	0.0219	0.0007	0.0077	-0.006	-0.0005	0.0012	0.0024
341_Teno_5076_2001	-0.0124	-0.0153	-0.0025	0.0021	-0.0034	0.0052	0.0027	0.0048	-0.0048	-0.0051
342_Teno_5111_2001	-0.0111	-0.0205	-0.0142	0.0227	-0.0052	-0.0046	0.0023	0.0015	-0.0017	0.0009
343_Teno_5113_2001	-0.0077	-0.0132	-0.0103	0.0134	-0.0128	-0.0077	-0.0007	-0.0018	-0.0037	-0.0004
344_Teno_5115_2001	-0.0162	-0.0161	-0.0096	0.0213	-0.0047	-0.0158	0.0015	-0.0015	-0.0037	-0.0002
345_Teno_5118_2001	-0.01	-0.0179	-0.004	0.0101	-0.0184	0.007	-0.0024	-0.0002	-0.003	0.0001
346_Teno_5119_2001	-0.0061	-0.0121	-0.0003	0.0153	-0.0113	-0.0045	0.0025	0.0002	-0.0025	0.0068
347_Teno_5120_2001	-0.008	-0.0067	-0.0022	0.0237	-0.0067	-0.0098	0.0065	-0.0015	-0.0005	0.0002
348_Teno_5121_2001	-0.0127	-0.0198	0.0026	0.0141	0.002	0.0044	-0.0041	0.0051	0.003	0.0
349_Teno_5124_2001	-0.0129	-0.0113	-0.0017	0.0354	0.0054	-0.0019	0.0037	-0.0155	0.0068	0.0123
350_Teno_5143_2001	-0.0107	-0.0121	-0.0184	0.0328	0.0151	-0.0002	-0.0104	-0.0058	0.0026	0.0028
351_Teno_5145_2001	-0.0118	-0.0047	0.0089	0.0124	-0.0014	-0.0108	0.006	-0.0031	-0.0399	-0.0001
352_Teno_5154_2001	-0.0121	-0.0075	-0.0064	0.0106	-0.0042	-0.0049	0.0037	-0.0057	-0.0018	-0.0033
353_Teno_5155_2001	-0.0103	-0.0136	-0.0072	-0.0396	0.0011	-0.0015	-0.0007	0.0002	-0.0002	0.0002
354_Teno_5159_2001	-0.0101	-0.0129	-0.0151	0.0145	0.0033	0.0086	0.005	0.023	-0.0041	0.0045
355_Teno_5160_2001	-0.0086	-0.0127	-0.0036	0.0138	0.0034	-0.0067	-0.002	-0.0027	0.0001	-0.001
356_Teno_5164_2001	-0.0102	-0.0136	-0.0016	0.0301	-0.004	-0.0106	-0.0048	-0.0015	0.0003	-0.0009
357_Teno_5165_2001	-0.0041	-0.0102	0.0025	0.0036	-0.0007	0.0091	0.0009	-0.0019	-0.0017	0.0002
358_Teno_5166_2001	-0.0197	-0.0095	-0.0204	-0.0155	-0.0102	-0.0068	-0.008	-0.0002	0.0004	0.0017
359_Teno_5169_2001	-0.0142	-0.0167	0.0005	-0.0373	0.0172	-0.0074	0.0014	0.0165	0.0005	0.0034
360_Teno_5172_2001	-0.011	-0.0165	-0.0014	-0.0048	0.0006	-0.0088	0.0115	-0.0029	0.0095	0.0081
361_Teno_5178_2001	-0.0083	-0.0135	0.004	-0.0031	-0.0072	0.0174	0.0069	-0.0045	-0.0048	0.0034
362_Teno_5241_2001	-0.0107	-0.0117	-0.0104	0.0133	0.004	-0.0099	0.0035	-0.0008	-0.0002	-0.0007
363_Teno_5242_2001	-0.0059	-0.0179	-0.0013	0.0236	-0.0135	-0.0013	0.0009	0.0002	-0.0004	-0.0012
364_Teno_5244_2001	-0.0126	-0.0121	-0.0015	0.0042	-0.0015	0.0268	0.0075	0.0021	-0.0024	0.0
365_Teno_5248_2001	-0.0121	-0.0108	-0.0137	0.0089	0.0026	0.0035	-0.031	-0.0099	0.0033	0.0024
366_Teno_5249_2001	-0.0139	-0.0158	-0.0026	0.017	0.0003	-0.0034	-0.002	0.0003	-0.0033	-0.001
367_Teno_5250_2001	-0.0099	-0.0149	-0.0127	0.0244	0.0092	0.002	-0.0028	-0.0001	0.0022	0.0174
368_Teno_5251_2001	-0.0094	-0.0165	0.0011	-0.0022	0.0045	0.0037	-0.0013	0.0012	0.0009	0.0006
369_Teno_5253_2001	-0.0087	-0.0138	-0.0166	0.021	0.0048	0.0067	-0.0037	-0.0044	0.0021	0.0007
370_Teno_5322_2001	-0.0077	-0.0111	-0.0105	-0.0437	0.0055	-0.0026	-0.0083	-0.0002	-0.0015	0.0014
371_Teno_5325_2001	-0.0125	-0.0187	-0.0112	-0.0089	-0.0028	-0.0061	0.0085	0.0116	0.0054	-0.0041
372_Teno_5326_2001	-0.0138	-0.0129	-0.0124	-0.0423	-0.023	0.0013	0.0026	-0.0005	0.0002	0.0013
373_Teno_5329_2001	-0.0075	-0.0137	-0.0054	-0.0136	0.0184	0.013	0.0155	0.0109	0.002	-0.0082
374_Teno_5330_2001	-0.0075	-0.0105	-0.0068	0.0185	0.002	-0.0006	0.0178	0.0269	-0.0204	0.0023
375_Teno_5336_2001	-0.0138	-0.0113	0.0029	-0.0053	0.0093	-0.0114	0.0064	0.0087	0.0015	0.0003
376_Teno_5338_2001	-0.0144	-0.0085	0.0035	-0.0383	-0.0074	-0.0027	0.0039	-0.0014	0.0074	0.0004
377_Teno_5342_2001	-0.0181	-0.0141	-0.0024	-0.0144	0.002	-0.0274	-0.002	0.0009	-0.0007	0.0005
378_Teno_5343_2001	-0.0161	-0.0122	-0.0052	0.0094	0.0033	0.0105	-0.0007	0.0013	0.0057	-0.0003
379_Teno_5352_2001	-0.0121	-0.0182	-0.0062	-0.025	-0.0001	0.0059	0.0104	0.023	0.0059	0.0045
380_Teno_5353_2001	-0.0122	-0.0142	-0.0115	-0.0318	-0.0067	-0.0089	0.0014	-0.0024	0.0001	-0.0
381_Teno_5356_2001	-0.0174	-0.0116	-0.0085	-0.0032	0.002	-0.0059	0.0037	-0.0107	0.0324	0.0349
382_Teno_5366_2001	-0.0143	-0.0111	-0.0114	-0.0122	-0.0172	-0.0059	-0.0043	-0.0002	0.0021	0.0006
383_Teno_5367_2001	-0.0141	-0.0129	-0.0126	-0.0405	-0.0047	-0.0108	-0.0132	0.0057	-0.0017	0.0
384_Teno_5692_2001	-0.0123	-0.0129	-0.0018	0.0237	0.01	0.0137	0.0023	0.0037	0.0027	-0.0009
385_Teno_5695_2001	-0.0122	-0.0079	-0.0013	0.006	0.0015	-0.0039	-0.008	-0.0012	0.0031	0.0079
386_Teno_5698_2001	-0.0099	-0.0066	-0.0025	0.0229	0.0045	0.0084	0.0028	-0.0067	-0.0016	-0.0028
387_Teno_5699_2001	-0.0101	-0.0142	0.0032	0.0205	0.0176	0.0069	-0.0119	0.0041	0.0005	-0.0002
388_Teno_5702_2001	-0.013	-0.0101	-0.0102	0.0043	0.0081	0.0019	-0.0036	0.0191	-0.0015	0.0
389_Teno_5705_2001	-0.0098	-0.0174	-0.0118	0.0242	0.003	-0.0046	-0.0053	0.0078	-0.0039	0.0005
390_Teno_5709_2001	-0.0126	-0.004	-0.0077	0.0221	-0.0129	-0.0056	0.0039	0.0048	0.0033	0.0007
391_Teno_5797_2001	-0.0145	-0.0116	-0.0107	-0.0132	0.0047	0.0016	-0.0013	0.0053	0.0008	-0.0032
392_Teno_5800_2001	-0.0128	-0.0092	-0.0163	0.0249	-0.0044	0.0078	0.0159	0.0052	0.0016	0.0002
393_Teno_5803_2001	-0.0081	-0.0142	-0.0102	0.0228	-0.0004	-0.0089	-0.0011	0.007	0.0069	-0.016
394_Teno_5805_2001	-0.015	-0.0152	-0.0085	-0.0373	-0.0087	-0.0048	0.0097	0.0034	0.0053	-0.0003
395_Teno_5809_2001	-0.0125	-0.0133	-0.0134	0.0153	0.0095	0.0001	0.0066	0.0006	-0.0014	-0.0022
396_Teno_5820_2001	-0.0137	-0.0127	-0.0014	-0.001	-0.0099	0.0136	0.0066	-0.0	0.0005	0.0009
397_Teno_5832_2001	-0.012	-0.0101	0.0008	-0.0116	0.0032	-0.0011	0.0202	-0.0012	0.0031	-0.0021
398_Teno_5835_2001	-0.0153	-0.0145	0.0056	-0.0276	-0.0124	-0.0053	-0.005	0.0061	-0.0009	-0.0006
399_Teno_5841_2001	-0.0111	-0.0133	-0.0021	-0.0261	0.0171	0.0087	0.0078	-0.0002	0.0024	0.0036
400_Teno_5842_2001	-0.014	-0.0099	-0.0017	0.0081	-0.0102	-0.0009	0.0	0.0051	-0.001	-0.0039
401_Teno_5843_2001	-0.0044	-0.006	-0.0073	0.0328	0.0013	-0.0113	0.0058	-0.0	-0.0001	-0.0008
402_Teno_5844_2001	-0.0029	-0.0149	-0.0043	0.0374	-0.0132	-0.0014	-0.0003	0.0083	0.0002	-0.0018
403_Teno_5847_2001	-0.0086	-0.0085	0.0044	0.0104	-0.0023	0.0087	-0.0059	0.0004	0.0001	-0.0062
404_Teno_5858_2001	-0.0114	-0.015	0.0022	0.0122	0.0026	0.0014	0.0036	-0.003	-0.0042	-0.0021
405_Teno_5859_2001	-0.0135	-0.0112	-0.0198	0.0034	-0.0211	0.0001	-0.002	-0.0129	0.0087	-0.0137
406_Teno_5875_2001	-0.012	-0.0125	-0.0122	0.0071	-0.0008	-0.0015	-0.0044	0.0003	0.0036	0.0096
407_Teno_5895_2001	-0.0169	-0.0093	-0.0029	-0.0535	0.0084	-0.0097	-0.005	0.0138	-0.0147	0.059
408_Teno_5897_2001	-0.0155	-0.0068	-0.014	0.0326	0.006	0.0006	-0.0012	-0.0014	-0.0039	0.0015
409_Teno_5898_2001	-0.0121	-0.0072	-0.0084	0.0142	0.02	0.0077	0.0027	-0.0174	-0.0047	0.0007
410_Teno_5902_2001	-0.0142	-0.0175	-0.0082	-0.0356	-0.0008	-0.0041	-0.0083	0.0052	-0.0109	-0.0011
411_Teno_5903_2001	-0.0142	-0.0169	-0.0013	0.0253	0.0063	-0.0123	-0.0022	-0.0024	-0.0031	-0.004
412_Teno_5907_2001	-0.0161	-0.0169	-0.007	0.0114	0.0049	0.0114	-0.0043	0.0006	-0.0007	0.0
